Home Team,Away Team,Home xG,Away xG,Home Poss%,Away Poss%
Watford,Manchester City,0.13,2.98,23,77
Aston Villa,Arsenal,0.57,0.74,31,69
Manchester United,West Ham,0.98,0.53,57,43
Liverpool,Chelsea,1.45,2.38,50,50
West Ham,Aston Villa,0.78,0.98,63,37
Arsenal,Watford,1.19,3.16,51,49
Southampton,Sheffield United,0.88,1.41,72,28
Newcastle United,Liverpool,0.34,0.57,25,75
Manchester City,Norwich,3.57,0.79,73,27
Leicester City,Manchester United,0.75,0.65,46,54
Everton,Bournemouth,1.75,0.68,70,30
Crystal Palace,Tottenham,0.99,0.31,47,53
Chelsea,Wolves,1.16,0.16,63,37
Burnley,Brighton,1.44,1.37,54,46
